id_vaca_gps,Numero_pendiente,IdUsuario,latitud,longitud,rssi,fecha
128,1001,1,43.127674,-8.485727,-116.0,2024-04-20 12:50:09
129,1001,1,43.127632,-8.485713,-105.0,2024-04-20 12:50:13
130,1001,1,43.127632,-8.485713,-104.0,2024-04-20 12:50:15
131,1001,1,43.127571,-8.485695,-107.0,2024-04-20 12:50:17
132,1001,1,43.127514,-8.485678,-113.0,2024-04-20 12:50:23
133,1001,1,43.127514,-8.485678,-106.0,2024-04-20 12:50:25
134,1001,1,43.127483,-8.485624,-103.0,2024-04-20 12:50:34
135,1001,1,43.127483,-8.485624,-118.0,2024-04-20 12:50:38
136,1001,1,43.127586,-8.484974,-106.0,2024-04-20 12:50:45
137,1001,1,43.127106,-8.484311,-107.0,2024-04-20 12:50:51
138,1001,1,43.127571,-8.484696,-104.0,2024-04-20 12:51:11
139,1001,1,43.127571,-8.484696,-99.0,2024-04-20 12:51:12
140,1001,1,43.127571,-8.484696,-108.0,2024-04-20 12:51:13
141,1001,1,43.127571,-8.484696,-108.0,2024-04-20 12:51:14
142,1001,1,43.127697,-8.484822,-99.0,2024-04-20 12:51:24
143,1001,1,43.127697,-8.484822,-108.0,2024-04-20 12:51:25
144,1001,1,43.127697,-8.484822,-101.0,2024-04-20 12:51:26
145,1001,1,43.127735,-8.484826,-113.0,2024-04-20 12:51:41
146,1001,1,43.127731,-8.484842,-99.0,2024-04-20 12:51:51
147,1001,1,43.127708,-8.484898,-106.0,2024-04-20 12:52:05
148,1001,1,43.127708,-8.4849,-110.0,2024-04-20 12:52:13
149,1001,1,43.127708,-8.4849,-101.0,2024-04-20 12:52:21
150,1001,1,43.127705,-8.4849,-95.0,2024-04-20 12:52:23
151,1001,1,43.127705,-8.484913,-120.0,2024-04-20 12:52:24
152,1001,1,43.127712,-8.484904,-104.0,2024-04-20 12:52:27
153,1001,1,43.127712,-8.484904,-104.0,2024-04-20 12:52:28
154,1001,1,43.127712,-8.484904,-102.0,2024-04-20 12:52:30
155,1001,1,43.127712,-8.484904,-100.0,2024-04-20 12:52:30
156,1001,1,43.127712,-8.484904,-98.0,2024-04-20 12:52:31
157,1001,1,43.127712,-8.484904,-98.0,2024-04-20 12:52:31
158,1001,1,43.127747,-8.484905,-98.0,2024-04-20 12:52:34
159,1001,1,43.127743,-8.484914,-99.0,2024-04-20 12:52:34
160,1001,1,43.127743,-8.484914,-103.0,2024-04-20 12:52:35
161,1001,1,43.127743,-8.48492,-101.0,2024-04-20 12:52:38
162,1001,1,43.127739,-8.484936,-101.0,2024-04-20 12:52:42
163,1001,1,43.127735,-8.484947,-101.0,2024-04-20 12:52:45
164,1001,1,43.127735,-8.484949,-93.0,2024-04-20 12:52:48
165,1001,1,43.127762,-8.484914,-99.0,2024-04-20 12:52:56
166,1001,1,43.127754,-8.484921,-100.0,2024-04-20 12:53:04
167,1001,1,43.12775,-8.484924,-105.0,2024-04-20 12:53:07
168,1001,1,43.12775,-8.484925,-104.0,2024-04-20 12:53:10
169,1001,1,43.12775,-8.484925,-107.0,2024-04-20 12:53:12
170,1001,1,43.12775,-8.484929,-121.0,2024-04-20 12:53:14
171,1001,1,43.12775,-8.484929,-113.0,2024-04-20 12:53:16
172,1001,1,43.127743,-8.484941,-101.0,2024-04-20 12:53:25
173,1001,1,43.127743,-8.484941,-100.0,2024-04-20 12:53:27
174,1001,1,43.127735,-8.484956,-103.0,2024-04-20 12:53:36
175,1001,1,43.127735,-8.484956,-104.0,2024-04-20 12:53:38
176,1001,1,43.127735,-8.484958,-109.0,2024-04-20 12:53:44
177,1001,1,43.127735,-8.484958,-97.0,2024-04-20 12:53:48
178,1001,1,43.127728,-8.484969,-97.0,2024-04-20 12:53:51
179,1001,1,43.127724,-8.484974,-98.0,2024-04-20 12:53:54
180,1001,1,43.127724,-8.484974,-99.0,2024-04-20 12:53:56
181,1001,1,43.127724,-8.484981,-99.0,2024-04-20 12:53:59
182,1001,1,43.127728,-8.484973,-101.0,2024-04-20 12:54:03
